DATA RIO,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tabela 2631 - Número de empregados por atividade econômica segundo as Áreas de Planejamento (AP), Regiões Administrativas (RA) e Bairros - Município do Rio de Janeiro - 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bairros,Extrativa mineral,Minerais não-metálicos,Indústria metalúrgica,Indústria mecânica,Indústria do material elétrico e de comunicações,Indústria de material de transporte,Indústria da madeira e do mobiliário,"Indústria do papel, papelão, editorial e gráfica","Indústria da borracha, fumo, couros, peles, similares e diversas","Indústria química de produtos farmacêuticos, veterinários, perfumaria...",Indústria têxtil do vestuário e artefatos de tecidos,Indústria de calçados,"Indústria de produtos alimentícios, bebidas e álcool etílico",Serviços industriais de utilidade pública ,Construção civil,Comércio varejista,Comércio atacadista,"Instituições de crédito, seguros e capitalização","Comércio e administração de imóveis, valores mobiliários, serviços técnicos",Transportes e comunicações,"Serviços de alojamento, alimentação, reparação, manutenção, redação...","Serviços médicos, odontológicos e veterinários",Ensino,Administração pública direta e autárquica,"Agricultura, silvicultura, criação de animais, extrativismo vegetal",Outros/ignorado,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,  9 175,  3 774,  11 884,  8 179,  2 285,  2 610,  1 921,  11 545,  11 176,  28 899,  15 721,   142,  30 204,  37 922,  80 934,  288 448,  66 041,  59 475,  387 592,  134 137,  250 923,  113 186,  132 922,  381 972,  3 148,   0, 2 074 215
Bonsucesso,-,   9,   98,   360,   79,   4,   18,   788,   76,   273,   312,-,   128,   204,  2 169,  4 493,  1 785,   263,  15 069,  2 137,  3 590,  2 941,  1 564,-,-,-,  36 360
Ramos,-,   3,   87,   259,   66,   56,   52,   191,   32,   295,   151,   1,   170,   47,   911,  2 831,  1 843,   108,  2 984,  2 448,  1 350,   417,   512,-,-,-,  14 814
Olaria,-,-,   41,   102,   69,   20,   14,   80,   3,   37,   200,-,   173,   2,   670,  2 795,   469,   36,  1 966,  1 637,   538,   702,   454,-,-,-,  10 008
XXX Maré,   0,   0,   36,   0,   0,   0,   0,   0,   0,   0,   3,   0,   28,   0,   4,   421,   7,   0,   6,  1 327,   19,   1,   0,   0,   0,   0,  1 852
Maré,-,-,   36,-,-,-,-,-,-,-,   3,-,   28,-,   4,   421,   7,-,   6,  1 327,   19,   1,-,-,-,-,  1 852
Região de Planejamento 3.2,   0,   771,   215,   683,   194,   46,   215,   888,   121,  1 545,  1 265,   0,  1 557,   226,  3 008,  16 881,  2 052,  1 291,  21 752,  3 667,  10 036,  4 144,  5 521,  2 735,   49,   0,  78 862
XIII Méier,   0,   771,   215,   683,   194,   46,   215,   888,   121,  1 545,  1 265,   0,  1 557,   226,  3 008,  16 881,  2 052,  1 291,  21 752,  3 667,  10 036,  4 144,  5 521,  2 735,   49,   0,  78 862
Jacaré,-,   498,   71,   90,   28,-,   13,   146,   48,   545,   84,-,   5,   77,   56,   549,   178,   28,  2 819,   97,   610,   2,   93,-,-,-,  6 037
São Francisco Xavier,-,-,   1,   5,   39,-,   35,   333,   4,-,   10,-,   71,-,   99,   424,   38,   22,  6 573,   72,   258,   51,   76,-,-,-,  8 111
Rocha,-,-,   26,   15,   52,-,   7,   53,   12,   28,   592,-,   257,-,   243,   198,   393,-,  2 673,   14,   323,   5,   117,-,   5,-,  5 013
